Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Am Freitagabend ereignete sich auf der Landstraße zwischen Machtolsheim und Merklingen ein Verkehrsunfall, bei dem ein Motorradfahrer dank seiner schnellen Reaktion nur leicht verletzt wurde.	A traffic accident occurred on Friday evening on the country road between Machtolsheim and Merklingen where a bike rider was only slightly injured thanks to his quick reaction.
Autofahrerin übersieht Biker	A female car driver overlooks a biker
Eine 44jährige Autofahrerin wollte gegen 21.30 Uhr mit ihrem VW von Merklingen her kommend nach links auf die Landesstraße 1230 in Richtung Machtolsheim einbiegen.	Around 21:30 a 44 year old female car driver, coming from Merklingen with her VW, wanted to turn left into the country road 1230 into the direction of Machtolsheim.
Hierbei übersah sie den aus Richtung Nellingen kommenden 24jährigen, vorfahrtberechtigten Motoradfahrer.	At this, she overlooked the 24 year old motorbike driver with right-of way who came from the direction of Nellingen.
Bei der Kollision fliegen Hand- und Fußbremshebel weg	When they collided hand and foot brake pedals break off
Der Biker versuchte noch, dem Pkw auszuweichen, streifte diesen dennoch am hinteren Fahrzeugbereich.	The biker still attempted to evade the car, however, brushed against the car at the rear end.
Durch den Streifvorgang wurden an der Suzuki der Hand- sowie der Fußbremshebel abgerissen und der Fahrer war nicht mehr in der Lage, abzubremsen.	Thrush the brushing against the car hand break handle and foot break pedal were ripped off the Suzuki and the driver was no longer able to break.
Geistesgegenwärtig steuerte er sein Motorrad in den Grünsteifen neben der Fahrbahn und ließ es dort ausrollen, ohne dabei zu Fall zu kommen.	Alerted he steered his bike into the grass strip beside the road and taxied it to a standstill without losing control.
Biker erleidet Beinverletzung	Biker suffers leg injuries
Durch den Zusammenstoß mit dem Auto erlitt der Biker dennoch eine Verletzung am Beim und musste in einer Klinik behandelt werden.	Through the collision with the car the biker suffered, however, an injury on his leg and had to be treated in a hospital.
Mamming: Corona-Masseninfektion: 174 Erntehelfer angesteckt	Mamming: Corona mass infection: 174 harvesters infected
Nach einer Corona-Masseninfektion auf einem großen Gemüsehof im niederbayerischen Mamming stehen fast 500 Menschen unter Quarantäne und dürfen den Betrieb nicht mehr verlassen.	After a Corona mass infection on a large vegetable farm in Mamming, Lower Bavaria, almost 500 people have been quarantined and are not allowed anymore to leave the operations.
Ein Sicherheitsdienst überwacht das Ausgehverbot.	A security service monitors the curfew.
Insgesamt 174 Erntehelfer wurden bei der Reihenuntersuchung positiv auf den Corona-Erreger Sars-CoV-2 getestet, wie das Landratsamt Dingolfing-Landau am Samstagabend mitteilte.	Altogether 174 harvesters were tested positive for the Corona virus Sars-CoV-2 at a mass screening as the district administration Dingolfing-Landau announced on Saturday evening.
"Um eine weitere Ausbreitung zu vermeiden, müssen wir zum Schutz der Bevölkerung leider diesen Schritt gehen", erklärte Landrat Werner Bumeder (CSU).	“In order to avoid a further spreading we unfortunately must take this measure to protect the population”, county commissioner Werner Bumeder (CSU) explained.
Zuvor hatten sich in dem Betrieb bereits sieben Mitarbeiter infiziert - dies war der Anlass des Reihentests.	Before that already seven coworkers had been infected on this farm - this triggered the mass screening.
Bei dem Betrieb handelt es sich um einen großen Gemüsehof, der Erdbeeren, Gurken, Kohl und Rote Bete anbaut - die Gurken aber nur für Einlegegläser.	The operations concern a large vegetable farm that grows strawberries, cucumbers, cabbage and beetroot - however the cucumbers only for canning jars.
Mamming ist eine ländliche Gemeinde mit gut 3300 Einwohnern unweit von Dingolfing mit seinem großen BMW-Werk.	Mamming is a rural community with about 3300 residents not far from Dingolfing with its large BMW factory.
Bumeder appellierte an die Bürger, Ruhe zu bewahren: "Nach unseren Informationen handelt es sich um einen geschlossenen Personenkreis".	Bumeder called on the citizens to keep calm: “According to our information it concerns a closed group of persons.”
Auf dem Hof wurden infizierte von nicht infizierten Mitarbeitern getrennt, das Gelände ist nun von einem Absperrzaun umgeben.	On the farm infected coworkers were separated from non-infected ones, the premises are now fenced in with a construction fence.
Grüne und SPD gaben der Staatsregierung Mitverantwortung.	Greens and SPD blamed the State government for shared responsibility.
