India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
India's new prime minister, Narendra Modi, is meeting his Japanese counterpart, Shinzo Abe, in Tokyo to discuss economic and security ties, on his first major foreign visit since winning May's election.	Indiens neuer Premierminister Narendra Modi trifft bei seinem ersten wichtigen Auslandsbesuch seit seinem Wahlsieg im Mai seinen japanischen Amtskollegen Shinzo Abe in Toko, um wirtschaftliche und sicherheitspolitische Beziehungen zu besprechen.
Mr Modi is on a five-day trip to Japan to strengthen economic ties with the third largest economy in the world.	Herr Modi befindet sich auf einer fünftägigen Reise nach Japan, um die wirtschaftlichen Beziehungen mit der drittgrößten Wirtschaftsnation der Welt zu festigen.
High on the agenda are plans for greater nuclear co-operation.	Pläne für eine stärkere kerntechnische Zusammenarbeit stehen ganz oben auf der Tagesordnung.
India is also reportedly hoping for a deal on defence collaboration between the two nations.	Berichten zufolge hofft Indien darüber hinaus auf einen Vertrag zur Verteidigungszusammenarbeit zwischen den beiden Nationen.
Karratha police arrest 20-year-old after high speed motorcycle chase	Polizei von Karratha verhaftet 20-Jährigen nach schneller Motorradjagd
A motorcycle has been seized after it was ridden at 125km/h in a 70km/h zone and through bushland to escape police in the Pilbara.	Ein Motorrad wurde beschlagnahmt, nachdem der Fahrer es mit 125 km/h in einer 70 km/h-Zone und durch Buschland gefahren hatte, um der Polizei in Bilbara zu entkommen.
Traffic police on patrol in Karratha this morning tried to pull over a blue motorcycle when they spotted it reaching 125km/h as it pulled out of a service station on Bathgate Road.	Verkehrspolizisten in Karratha versuchten heute morgen, ein blaues Motorrad zu stoppen, nachdem sie es dabei beobachtet hatten, wie es mit 125 km/h eine Tankstelle auf der Bathdate Road verließ.
Police say the rider then failed to stop and continued on to Burgess Road before turning into bushland, causing the officers to lose sight of it.	Die Polizei berichtet, dass der Fahrer die Haltesignale dann ignorierte und weiter auf der Burgess Road fuhr, bevor er in das Buschland abbog, wo die Beamten es aus den Augen verloren.
The motorcycle and a person matching the description of the rider was then spotted at a house on Walcott Way in Bulgarra.	Das Motorrad sowie eine Person, die der Beschreibung des Fahrers entsprach wurden später bei einem Haus im Walcott Way in Bulgarra gesehen.
Karratha Police have charged a 20-year-old man with failing to stop and reckless driving.	Die Polizei von Karratha beschuldigt einen 20-jährigen Mann der Nichtbeachtung eines Haltesignals sowie rücksichtslosen Fahrens.
He is due to appear in Karratha Magistrates Court on September 23.	Er soll am 23. September vor dem Amtsgericht in Karratha erscheinen.
The motorcycle was seized and impounded for three months.	Das Motorrad wurde sichergestellt und für drei Monate beschlagnahmt.
George Webster accused of Nairn and Pitlochry hotel rapes	George Webster wegen Hotelvergewaltigungen in Naim und Pitlochry angeklagt
A man is to stand trial accused of raping women at two hotels.	Ein Mann steht wegen der Vergewaltigung von Frauen in zwei Hotels vor Gericht.
George Webster, 28, faced the charges during a hearing at the High Court in Glasgow.	George Webster, 28, wurde die Anklage bei einer Anhörung von dem Obersten Gericht in Glasgow verlesen.
He is alleged to have raped a woman at the Scotland's Hotel in Pitlochry in Perthshire on June 7, 2013.	Er wird beschuldigt, am 7. Juni 2013 eine Frau im Scotland's Hotel in Pitlochry in Perthshire vergewaltigt zu haben.
It is claimed Webster attacked her while she was "unconscious, asleep and incapable of giving consent."	Die Anklage lautet, dass Webster sie angriff, während sie "bewusstlos war, schlief, und kein Einverständnis signalisieren konnte."
Webster is then charged with raping a second woman at the Golf View Hotel in Nairn in the Highlands on May 4, 2014.	Webster wird darüber hinaus vorgeworfen, am 4. Mai 2014 eine zweite Frau im Golf View Hotel in Naim im schottischen Hochland vergewaltigt zu haben.
Judge Lady Rae set a trial date for November 17 at the High Court in Edinburgh.	Richterin Lady Rae setzte den Verhandlungstermin für den 17. November am Obersten Gericht in Edinburgh an.
Reconnecting With the Very American Ideal That Labor Rights Are Human Rights	Rückbesinnung auf das sehr amerikanische Ideal der Arbeitsrechte als Menschenrechte
Congressmen Keith Ellison and John Lewis have proposed legislation to protect union organizing as a civil right.	Die Kongressabgeordneten Keith Ellison und John Lewis haben einen Gesetzesvorschlag eingebracht, um die Organisation von Gewerkschaften als Bürgerrecht zu etablieren.
"As go unions, so go middle-class jobs," says Ellison, the Minnesota Democrat who serves as a Congressional Progressive Caucus co-chair.	"So wie Gewerkschaften sterben, sterben auch die Mittelklassejobs," sagte Ellison, ein Demokrat aus Minnesota und stellvertretender Vorsitzender des Progressive Caucus im Kongress.
That's why I'm proud to introduce the Employee Empowerment Act with civil rights icon John Lewis.	Daher stelle ich stolz gemeinsam mit der Bürgerrechtsikone John Lewis das Mitarbeiterermächtigungsgesetz vor.
This ground-breaking legislation will give workers the same legal options for union organizing discrimination as for other forms of discrimination - stopping anti-union forces in their tracks	Dieses bahnbrechende Gesetz gibt Arbeitern die gleichen rechtlichen Möglichkeiten bei Diskriminierung wegen der Organisation von Gewerkschaften wie bei anderen Formen der Diskriminierung - und stoppt so antigewerkschaftlich eingestellte Kräfte.
Amending the National Labor Relations Act to allow workers who face discrimination for engaging in union organizing to sue for justice in the civil courts - and to collect compensatory and punitive damages - is a sound and necessary initiative.	Die Ergänzung des nationalen Arbeitsrechtsgesetzes, um eine Möglichkeit für einer Diskriminierung ausgesetzte Arbeitern zur Organisation einer Gewerkschaftsvertretung zu schaffen, um vor einem Zivilgericht um Gerechtigkeit zu klagen - und um Schadensersatz oder Strafgelder zu erhalten - ist eine sinnvolle und notwendige Initiative.
But it in certainly not a radical initiative - at least by American standards.	Aber es ist mit Sicherheit keine radikale Initiative - jedenfalls nicht nach amerikanischen Standards.
Indeed, the best way to understand what Ellison, Lewis and the cosponsors of their legislation are proposing is as a reconnection with a very American idea.	Tatsächlich ist die beste Art und Weise zum Verständnis dessen, was Ellison, Lewis und die weiteren Sponsoren ihrer Gesetzesvorlage vorschlagen, die Verbindung zurück zu einer sehr amerikanischen Idee.
Despite the battering that unions have taken in recent years - in Wisconsin, Michigan and states across the country - Americans once encouraged countries around the world to embrace, extend and respect labor rights.	Trotz der Rückschläge, denen die Gewerkschaften in den vergangenen Jahren ausgesetzt waren - in Wisconsin, Michigan und anderen Staaten im ganzen Land - haben Amerikaner einst Länder in aller Welt dazu ermutigt, Arbeitsrechte anzuerkennen, auszuweiten und einzuhalten.
There was a time, within the living memory of millions of Americans, when this country championed democracy, freedom of speech, freedom of the press and the right to organize in the same breath.	Es gab eine Zeit, an die sich Millionen von Amerikanern noch erinnern, als dieses Land Demokratie, Redefreiheit, Pressefreiheit und das Vereinigungsrecht in einem Atemzug nannte.
When the United States occupied Japan after World War II, General Douglas MacArthur and his aides encouraged the country to adopt a constitution designed to assure that Hideki Tojo's militarized autocracy would be replaced with democracy.	Als die Vereinigten Staaten nach dem Zweiten Weltkrieg Japan besetzte, ermutigten General Douglas Mac Arthur und sein Stab das Land dazu, eine Verfassung zu verabschieden, die sicherstellen solle, dass die militarisierte Autokratie Hedki Tojos durch Demokratie ersetzt würde.
Fully aware that workers and their unions had a role to play in shaping the new Japan, they included language that explicitly recognized that "the right of workers to organize and to bargain and act collectively is guaranteed."	In vollem Bewusstsein dessen, dass die Arbeiter und ihre Gewerkschaften bei der Schaffung eines neuen Japan eine Rolle einnahmen, verwendeten sie eine Sprache, die explizit anerkannte, dass "die Rechte der Arbeiter auf Vereinigung und gemeinsames Verhandeln und Handeln garantiert sind."
When the United States occupied Germany after World War II, General Dwight David Eisenhower and his aides urged the Germans to write a constitution that would assure that Adolf Hitler's fascism was replaced with muscular democracy.	Als die Vereinigten Staaten nach dem Zweiten Weltkrieg Deutschland besetzen, drängten General Dwight David Eisenhower und sein Stab die Deutschen, eine Verfassung zu schreiben, die dafür sorgen würde, dass der Faschismus Adolf Hitlers durch eine starke Demokratie ersetzt würde.
Recognizing that workers would need to organize and make their voices heard in the new nation, the Germans included a provision that explicitly declared: "The right to form associations to safeguard and improve working and economic conditions shall be guaranteed to every individual and to every occupation or profession.	In Anerkennung der Tatsache, dass die Arbeiter sich würden organisieren müssen, und ihre Stimme in der neuen Nation erheben sollten, fügten die Deutschen eine Klausel ein, die explizit aussagte: "Das Recht, Vereinigungen zu gründen, um die Arbeits- und wirtschaftlichen Bedingungen zu sichern und zu verbessern wird jedem Einzelnen und jedem Beruf oder Gewerbe garantiert.
Agreements that restrict or seek to impair this right shall be null and void; measures directed to this end shall be unlawful.	Vereinbarungen, die dieses Recht einschränken oder darauf abzielen, es zu schmälern sind null und nichtig; darauf abzielende Maßnahmen sind ungesetzlich.
When former First Lady Eleanor Roosevelt chaired the International Commission on Human Rights, which drafted the Universal Declaration of Human Rights that would in 1948 be adopted by the United Nations as a global covenant, Roosevelt and the drafters included a guarantee that "everyone has the right to form and to join trade unions for the protection of his interests."	Als die frühere First Lady Eleanor Roosevelt den Vorsitz über die Internationale Menschenrechtskommission innehatte, von der die Allgemeine Erklärung der Menschenrechte entworfen wurde, wie sie 1948 von den Vereinten Nationen als weltweites Abkommen übernommen wurde, fügten Roosevelt und die anderen Verfasser eine Garantie ein, dass "jeder das Recht hat, Gewerkschaften zum Schutze seiner Interessen zu bilden oder ihnen beizutreten."
For generations, Americans accepted the basic premise that labor rights are human rights.	Seit Generationen akzeptieren Amerikaner die Grundprämisse, dass Arbeitsrechte Menschenrechte sind.
When this country counseled other countries on how to forge civil and democratic societies, Americans explained that the right to organize a trade union - and to have that trade union engage in collective bargaining as an equal partner with corporations and government agencies - had to be protected.	Als dieses Land anderen Ländern dabei beriet, wie man zivile und demokratische Gesellschaften formen könne, erklärten Amerikaner, dass das Recht auf die Gründung einer Gewerkschaft - und darauf, dass diese Gewerkschaft dann an Kollektivverhandlungen als gleichwertiger Partner mit Unternehmen und Regierungsstellen teilnehmen dürfe - geschützt werden müsse.
Now, with those rights under assault in America, it is wise, indeed, to recommit to the American ideal that working people must have a right to organize and to make their voices heard in a free and open society.	Nachdem diese Rechte in Amerika unter Beschuss gerieten ist es tatsächlich sehr weise, sich das amerikanische Ideal wieder vor Augen zu führen, demzufolge die arbeitende Bevölkerung das Recht haben muss, sich zu vereinigen und sich in einer freien und offenen Gesellschaft Gehör zu verschaffen.
As the Reverend Martin Luther King Jr. said fifty years ago:	Wie Pastor Martin Luther King Jr. vor fünfzig Jahren sagte:
History is a great teacher.	Die Geschichte ist ein großartiger Lehrmeister.
Now everyone knows that the labor movement did not diminish the strength of the nation but enlarged it.	Jetzt wissen alle, dass die Arbeiterbewegung die Stärke der Nation nicht einschränkte, sondern sie vergrößerte.
By raising the living standards of millions, labor miraculously created a market for industry and lifted the whole nation to undreamed of levels of production.	Durch die Anhebung des Lebensstandards von Millionen Menschen hat Arbeit auf wundersame Weise einen Markt für die Industrie geschaffen und die gesamte Nation auf unvorstellbare Produktionsniveaus angehoben.
Those who attack labor forget these simple truths, but history remembers them.	Diejenigen, die die Arbeit angreifen, vergessen diese einfachen Wahrheiten, aber die Geschichte bewahrt sie.
History remembers, as should we.	Die Geschichte erinnert sich, und das sollten wir auch tun.
The formal recognition of labor rights as human rights - and the extension of civil rights protections to prevent discrimination against labor organizing - is long overdue.	Die formelle Anerkennung der Arbeitsrechte als Menschenrechte - und die Erweiterung des Schutzes der Bürgerrechte als Schutz gegen Diskriminierung bei der Schaffung von Arbeitnehmervertretungen - ist längst überfällig.
Keith Ellison and John Lewis are renewing ideals that have historically enlarged America and made real the promise of democracy.	Keith Ellison und John Lewis erneuern die Ideale, die Amerika in der Vergangenheit groß gemacht haben und das Versprechen von Demokratie einlösten.
Judge temporarily blocks law that could close all Louisiana abortion clinics	Richter stoppt zeitweilig Gesetz, dass alle Abtreibungskliniken in Louisiana zur Schließung zwingen könnte
A U.S. federal judge on Sunday temporarily blocked enforcement of a Louisiana law that advocates say would likely have closed all five abortion clinics in the state.	Ein US-Bundesrichter stoppte am Sonntag vorläufig die Umsetzung eines Gesetzes in Louisiana, von dem Anwälte sagen, dass es vermutlich zur Schließung aller fünf Abtreibungskliniken des Staates geführt hätte.
The measure, signed into law by Louisiana Governor Bobby Jindal in June and due to take effect Sept. 1, would require doctors who perform abortions to have patient admitting privileges at a hospital within 30 miles of their practice.	Diese Maßnahme, die von Bobby Jindal, Gouverneur von Louisiana, im Juni zum Gesetz erhoben wurde und am 1. Sept. in Kraft treten soll, würde Ärzte, die Abtreibungen durchführen, dazu zwingen, ein Patientenaufnahmerecht bei einem Krankenhaus innerhalb eines Radius von 30 Meilen um ihre Praxis zu erwerben.
However, the judge's ruling means that for the time being doctors can continue to perform legal abortions while seeking such privileges.	Die Entscheidung des Richters bedeutet jedoch, dass die Ärzte vorläufig weiterhin legal Abtreibungen durchführen können, während sie ein solches Recht beantragen.
"Plaintiffs will be allowed to operate lawfully while continuing their efforts to obtain privileges," Federal Judge John deGravelles wrote in the decision.	"Die Kläger können gesetzeskonform weiterarbeiten, während sie sich um die Erlangung dieser Rechte bemühen," schrieb Bundesrichter John deGravelles in seinem Urteil.
A hearing will be scheduled within a month for the judge to make a more permanent ruling on the law.	Innerhalb eines Monats wird eine Anhörung für den Richter angesetzt, um für das Gesetz eine dauerhaftere Entscheidung herbeizuführen.
Abortion rights activists applauded the decision, the latest in a string of rulings against similar measures, saying it would give doctors more time to seek hospital privileges.	Abtreibungsbefürworter begrüßten die Entscheidung, die jüngste in einer Reihe von Urteilen gegen ähnliche Maßnahmen und sagten, dass Ärzte so mehr Zeit gewännen, um Krankenhauseinweisungsrechte zu erlangen.
"Today's ruling ensures Louisiana women are safe from an underhanded law that seeks to strip them of their health and rights," said Nancy Northup, president and chief executive of the Center for Reproductive Rights, which sued to block the law on behalf of three of the state's five clinics.	"Die heutige Entscheidung bedeutet, dass die Frauen in Louisiana einem hinterhältigen Gesetz entgehen, das ihnen ihre Gesundheit und ihre Rechte nehmen will," sagte Nancy Northup, Präsidentin und Vorsitzende des Zentrums für Reproduktionsrechte, das im Namen von drei der fünf Kliniken des Staates geklagt hatte, um das Gesetz aufzuhalten.
It was not immediately clear whether the ruling applied to doctors from the two clinics who were not plaintiffs in the suit and have also applied for admitting privileges.	Es war nicht unmittelbar klar, ob sich das Urteil auch auf die Ärzte aus den zwei Kliniken erstreckte, die sich der Klage nicht angeschlossen und ebenfalls Einweisungsrechte beantragt hatten.
