Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
Hundreds of people rallied Friday in northwest Bosnia against plans by neighboring Croatia to store part of the waste from the region's only nuclear plant near its border with Bosnia and a main river known for its natural beauty.	金曜日、ボスニア北西部の町に数百人が集まり、ボスニアとの国境付近で美しい自然で知られる川の近くにその地域唯一の原子力発電所から出る廃棄物の一部を貯蔵するという隣国クロアチアの計画に抗議した。
The protesters in the Bosnian town of Novi Grad urged Croatia to abandon plans for a storage site at a former army barracks in Trgovska Gora and pledged to fight the project.	ボスニアの町、ノヴィ グラードに集まったデモ参加者は、トゥルゴフスカ・ゴラの兵舎の跡地を貯蔵場所にする計画の断念を強くクロアチアに求め、その計画と戦うことを誓った。
The facility would hold waste from the Krsko nuclear plant.	その施設はクルシコの原子力発電所から出た廃棄物を貯蔵することになる。
Holding banners reading "I want a healthy future" and "Stop - the Una (river) needs us," Bosnians they said a nuclear waste facility could endanger the Una River and the lives of around 250,000 area residents.	「健康な未来を奪うな」「断固阻止ーウナ（川）は私たちを必要としている」などと書かれた横断幕を掲げたボスニア人たちは、核廃棄物処理施設はウナ川やその周辺に住むおよそ250,000人の住民の生活を脅かしかねないと語った。
We have to say NO!	われわれは反対しなければならない。
Miroslav Drljaca, the head of Novi Grad municipality told the crowd.	ノヴィ グラード自治体の長、ミロスラブ ドリャーカは、群衆に向かってこう言った。
We must fight to preserve our way of life and our Una.	われわれは、自分たちの暮らしやウナ川を守るために戦わなければならない。
Located in Slovenia, the 1980s" Krsko plant is owned jointly by Croatia.	１９８０年代に運転が開始されたクルスコ原子力発電所はスロベニアに位置し、クロアチアと共同所有されている。
Officials from the two countries are set to meet next week to discuss additional waste storage facilities.	両国の政府関係者は来週協議を開き、廃棄物処理施設の増設を話し合う予定だ。
Croatia's state HRT television reported Friday that Croatia was yet to decide whether it would build storage of its own or pay to store its share of waste at a new facility Slovenia is building.	クロアチア国営放送は金曜日、クロアチアは独自に貯蔵施設を建設するべきか、それともスロベニアが新たに建設中の施設で処理されるクロアチアの廃棄物分の料金を支払うべきかまだ決定していないと報じた。
Croatian Minister of Environment Protection and Energy Tomislav Coric told the broadcaster that Croatia also has a problem disposing of institutional waste from schools, hospitals and prisons, and was hoping to find an overall solution.	クロアチアの環境保護エネルギー省大臣トミスラブ チョリッチ氏はアナウンサーに、クロアチアは学校、病院、刑務所からの公共施設廃棄物処理においても問題を抱えており、全面的な解決策を見出したいと考えている、と語った。
In Bosnia, activists, officials and residents from all sides of the country's ethnic divide insisted that Croatia find another location in a part of the country nearer to the nuclear.	ボスニアでは、国内のあらゆる民族の活動家や役人、住人が、クロアチアは原子力発電所近くの自国側で別の建設場所を探すよう主張した。
"How come that out of entire Croatia, the best is the Trgovska Gora pocket that is in Bosnia's pants?" asked Drljaca.	「なぜ、クロアチア全域で、ボスニアのズボンのポケット、つまりトゥルゴフスカ ゴラが最適な場所になるのだろうか？」とドゥリャーカ氏は問う。
We must not let them humiliate us!	われわれの自尊心を傷つけることは許さない！
Kobushi Factory, Inoue Rei's make up technique for "instant 3d small face" (S Cawaii) - Yahoo! News	こぶしファクトリー・井上玲音の「即3D小顔」になれちゃうメイク術（S Cawaii ） - Yahoo!ニュース
Published 9/6 17:30 (Friday)	9/6 (金) 17:30配信
Instant 3D small face with proficiency in light and shadow!	光と影を上手に使い分けて、即３D小顔！
Inoue Rei	井上玲音
The key is to create contrast by using highlight that gathers light to the center of your face and shadowing that casts natural shadows.	顔の真ん中に光を集めるハイライト使いと、自然な影をつくるシェーディングでコントラストをつけるのがポイント。
The texture of your skin can also control the chiseled look on your face.	肌の質感でも、顔の奥行き感をコントロールできちゃうんです！
Foggy x gloss.	フォギー×ツヤ。
Well-defined face created with 2 types of texture	２つの質感で生まれるメリハリフェイス
I prefer natural looking makeup on my day off mainly because I have full makeup onstage.	ライブでのバッチリメイクの反動なのかもしれないですが、 私、プライベートのメイクはめっちゃナチュラルなんです。
One of the things I enjoy the most these days is having variations with blush.	その中でも、最近楽しんでいるのはチークで変化をつけること。
I use the pink blush Inaba (Aika) san from Juice Juice gave me and try to apply it a little more toward the center than usual or up higher to emulate blushing cheeks... ... I am trying to find the best spot.	Juice=Juiceの稲場（愛香）さんにいただいたピンクのチークを、 いつもよりちょっと内側に入れてみたり、ポッと赤くなっているみたいに 上めに入れてみたり ... ... ベスポジを求めて試行錯誤中。
It surprises me that changing how and where I apply makeup can have so much impact on the look of my face, which motivates me to learn more about makeup techniques.	入れる位置や入れ方ひとつで顔立ちがガラッと変わるのが衝撃的で、 もっとメイクを研究したり、がんばらないと！と気合いが入ります。
My makeup instructor is Hirose Ayaka chan in the same group.	私のメイクの先生は、同じグループの広瀬彩海ちゃん。
She insists, "I want to do Rei chan's makeup!" at events, so I learn about makeup products and techniques while I have her apply makeup on my face.	イベントのときに「玲音ちゃんのメイクやりたい ！ 」と言ってくれるので、 メイクをしてもらいながら、コスメやテクを教えてもらってます。
My latest favorite makeup	＼最近のお気に入りメイク／
Using summer pop colors to spice things up!	夏らしいポップなカラーをピリッと効かせるのが好き！
For battle of bands, I really want to motivate myself, so I wear different makeup.	対バンライブのときは、とにかく気合いを入れたいのでメイクもひと味違うんです。
I apply a tiny bit of Maybelline color show liner OR-2 on the outer corner of my eyes "just so" to pump myself up.	メイベリンのカラー ショー ライナーのOR-2を目尻に"ティン"って小さく入れて、テンションを上げます。
I got my pink blush from Inaba san.	ピンクのチークは稲場さんからのいただきもの。
I like the girly pink.	ガーリーなピンクがお気に入りです。
Candy Doll White Pure Powder (shiny) lightens up the skin a tone.	肌がワントーン明るくなるキャンディドール ホワイトピュアパウダー〈シャイニー 〉 。
It also gets rid of pores and the greasy look.	毛穴もテカリも一掃してくれる。
B. Cezanne Highlight Stick 01 given by team member, Hisose Ayaka.	B.メンバーの広瀬綾海ちゃんからもらったセザンヌ ハイライトスティック01。
Can also be applied on C zone around eyes.	目元のCゾーンにも使える。
Canmake Shading Powder 01 creates natural shadows and is the easiest to apply on the skin.	自然な影をつくれるキャンメイク シェーディングパウダー01は、肌なじみがバツグンです。
PayPay salesperson: "We're just riding the wave", the switch to cashless payments sees a rush of adopters, but will this wave turn into a swell? (Tokai Television) - Yahoo!News	PayPay営業マン「波に乗ってます 」 " 駆け込み導入"起きるキャッシュレス化 波はうねりとなるか（東海テレビ ） - Yahoo!ニュース
The sales tax will be going up in October.	10月から始まる消費税の増税。
Accompanying this, the government will also begin the "Cashless Point Rebate Program".	これに合わせて国が始めるのが「キャッシュレス・ポイント還元事業」です。
To counter the cooling of consumer spending, shoppers can get a rebate of up to 5%, but the condition is that they have to have paid with a cashless payment method.	消費の冷え込みを抑える為に最大5％を還元するというものですが、条件となるのは「キャッシュレス」です。
View in images: Shortly before the tax increase...Shops and businesses rush to adopt cashless payments	【画像で見る】増税直前...店も事業者も"キャッシュレス駆け込み導入"
As a result, there is a rush to adopt cashless payments.	そこで、今起きているのが「駆け込み導入 」 。
Stores that up until now only accepted cash are going cashless.	これまで現金商売だったお店のキャッシュレス化です。
We had a look at on location at a store introducing cashless payments.	導入の現場に密着しました。
A rush before the tax increase... Shops and businesses are going cashless	■増税直前の"駆け込み導入 " ... 店も業者も急ぐ「キャッシュレス化」
A confectionery store "Okakiya Tatsushin", in Chita, Aichi Prefecture.	愛知県知多市の「おかき屋 辰心 」 。
