Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
Dominic Raab has defended the Government's decision to re-introduce quarantine measures on Spain at short notice.	针对政府突然做出重新对西班牙实施隔离措施的决定，Dominic Raab 做出了辩解。
Ministers announced on Saturday that holidaymakers who had not returned from Spain and its islands by midnight would be forced to self-isolate for 14 days.	部长们于周六宣布，如果度假者未能在午夜之前从西班牙及其离岛返回，将需要强制自我隔离 14 天。
The country had been on a list of "travel corridor" nations deemed safe to visit by Downing Street, but a recent surge in coronavirus cases has sparked fears of a second wave of the disease.	西班牙一直在唐宁街制定的可以安全旅行的“旅行走廊”名单上，然而，新冠病毒病例近期激增，引发了公众对第二波疫情的担忧。
On Sunday, the Foreign Secretary defended the sudden reimposition of restrictions as a "real-time response" to a worrying spike in infections reported in the region.	周日，针对突然重新实施旅行限制措施，外交大臣做出了辩解，称此举是对该地区报告的感染病例激增做出的“实时反应”。
He said the situation was then assessed yesterday afternoon "and we took the decision as swiftly as we could."	他表示已于前一天下午对局势进行了评估，“我们尽快做出了决定。”
"We can't make apologies for doing so," he added.	他还补充道：“我们不能为此道歉。”
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."	“我们必须有能力采取迅速、果断的行动，特别是在关系到本土或西班牙及特定国家的情况下，我们必须采取行动。”
"Otherwise, we risk re-infection into the UK, potentially a second wave here and then another lockdown."	“否则，英国会再次面临感染风险，引发第二波疫情，然后再次实施封锁。”
Transport secretary among Spain holidaymakers forced to quarantine	运输大臣与前往西班牙的度假者一样面临强制隔离
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.	在西班牙连续两天报告每日新增新冠病例突破 900 个之后，政府做出了这一决定。
The Foreign Secretary acknowledged that many tourists had been left with no time to cancel or alter their plans.	外交大臣承认，很多游客都来不及取消或更改他们的旅行计划。
"I understand it is disruptive for those going through this who are in Spain or have been considering going but we must be able to take swift, decisive action to protect the UK," he said.	他说：“我知道，对于那些身在西班牙或一直在考虑前往西班牙的人来说，这一决定非常不近人情，但我们必须有能力采取迅速、果断的行动来保护英国。”
"We've made such progress in getting the virus down and preventing the virus re-taking hold in the UK."	“在减少病例数量和防控疫情反扑方面，我们已经取得了不小的成果。”
Shadow Health Secretary Jonathan Ashworth condemned the Government for its "frankly shambolic" handling of the measure.	影子卫生大臣 Jonathan Ashworth 谴责政府的处理方式“毫无章法”。
He said Downing Street's sudden decision had left holidaymakers "confused and distressed."	他表示，唐宁街突然的决定让度假者“既困惑又沮丧”。
The Labour MP told Sophy Ridge: "I understand why they've made the decision but, of course, the way in which this decision has been made in the last 24 hours is frankly shambolic.	这位工党议员告诉 Sophy Ridge：“我理解他们为什么做出这个决定，但是，他们在过去 24 个小时内做出这样一个决定毫无章法。
"There are holidaymakers in Spain at the moment confused and distressed, there are people about to go on holiday to Spain and the islands like Tenerife who are confused, and they don't know whether their employers will allow them to take two weeks" quarantine.	“此时此刻身在西班牙的度假者会感到困惑和沮丧，计划前往西班牙和特内里费等岛屿度假的人也会感到困惑，他们不知道雇主是否能接受他们隔离两周。”
"The Government is just saying, "we hope that employers co-operate.""	“政府只是在说‘我们希望雇主合作。’”
"The way in which this decision has been made in the last 24 hours is frankly shambolic."	“他们在过去 24 个小时内做出这个决定毫无章法。”
What does Spain being on quarantine list mean for holidaymakers?	将西班牙列入隔离名单对度假者而言意味着什么？
He urged ministers to offer "clarity" on whether those who are asked to quarantine will receive financial support if their employers refuse to pay them during the quarantine period.	他敦促部长们进行“澄清”，如果雇主拒绝在隔离期间支付工资，这些被要求隔离的人是否可以得到财政支持。
He added that clear information was also needed "for those holidaymakers who are currently in Spain who have properly saved up all year for their family holiday who are confused and distressed."	他还补充说，“对于那些目前身在西班牙的度假者来说，他们可能为这次家庭旅行攒了整整一年的钱，他们会感到既困惑又沮丧”，因此这些人也需要获得明确的信息。
"The way in which this decision has been communicated is obviously causing anxiety," he stressed.	他强调：“传达这一决定的方式显然引起了焦虑。”
Mr Raab said no worker following the new guidance should be penalised by employers, including by being put onto sick pay.	Raab 先生表示，遵循新指导方针的员工不应受到雇主的处罚，例如列入病假工资名单。
He said: "We are changing the rules - the law is changed in relation to holidaymakers and travellers - and of course we expect employers to show those employees who will have to quarantine because of the law the flexibility they need.	他说：“我们仍在修改规定的内容——涉及修改的内容与度假者和游客相关，当然，我们希望雇主能够灵活地处理那些因为法律要求而被隔离的员工。
"If someone is following the law in relation to quarantine and self-isolating the way they should, they can't have penalties taken against them."	如果是为了遵循有关隔离的法律并进行自我隔离，他们就不应当受到处罚。”
US "failures" are holding back search for coronavirus drugs	美国的“失误”阻碍了新冠药物的研发
The global effort to produce useful anti-Covid medicines is being hampered by the US because researchers are testing drugs in "an arbitrary, willy-nilly way," the expert leading the UK's programme has warned.	一位英国新冠药物研发项目的专家称，由于美国研究人员“随心所欲地”测试药品，影响了全球研发新冠药物的进度。
Britain's Recovery Trial programme, which has involved 12,000 patients at several hundred British hospitals, has already pinpointed one promising new drug to tackle the disease and also highlighted two others - previously thought to be potential life-savers - as being useless.	目前为止，已有 12,000 名来自数百家医院的患者加入了英国康复试验计划，该计划确定了一种可能用于治疗新冠的新药，并指出之前认为的另外两种可以治疗该疾病的药物其实没有效果。
But the failure of the US medical system to match this output has meant that other promising treatments that could have been cleared for widespread use have still to be evaluated.	但是，由于美国医疗体系未实行类似的康复计划，意味着原本可获准并广泛使用的其他有效治疗方式仍有待评估。
In particular, convalescent plasma (blood plasma that is taken from Covid-19 patients and which contains antibodies that could protect others against the disease) has still to be properly tested on a large-scale randomised trial.	需要特别指出的是，恢复期血浆（即取自新冠康复患者的血浆）含有新冠病毒抗体，后续仍需对其进行大规模临床随机试验。
