ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
カットの全貌をレポート（CanCam.jp ） - Yahoo!ニュース	The complete report (CanCam.jp) --Yahoo! News
重さのあるセミロングにレイヤーをプラスして【みな実風】ふんわりヘアに	A bottom heavy, medium-length hairstyle with layers that keeps it bouncy  [Minami style]
CanCamモデルほのかが 、 「 美しいのはもちろんだけど、プロ意識がとても高くて尊敬しています ！ 」と憧れを抱く、田中みな実さんのような動きのあるヘアスタイルにチャレンジ。	CanCam model, Honoka, goes for a hairstyle with bounce, like Tanaka Minami, whom she gushes is, "Not only beautiful, but very professional respectable!"
実際に田中みな実さんのヘアカットを手掛けている、表参道のヘアサロン「SUNVALLY」の朝日光輝さんにお願いして 、 「 みな実風ヘア」にしてもらいました。	She went to Asahi Mitsuteru of the Hair Salon "SUN VALLEY" in Omotesando, who cuts Tanaka Minami's hair, to give her the "Minami-style " cut.
そのカットプロセスをレポートします！	We will explain the process to get the "cut"!
乃木坂46 山下美月、ショートヘアになって初表紙！	Nogizaka46 Yamashita Mizuki, her first cover with her new, short look!
まずはカット前のほのかの髪をチェック。	Let's check out Honoka's hair before cutting.
細くてやわらかく、多め。	Thin, soft and volumenous hair.
クセがあって、特に梅雨の時季はボワッとしてしまうためストレートパーマをかけることも。	Curly and unruly especially during the rainy season, she sometimes gets her hair straightened.
流し前髪を合わせた重めのセミロングです。	A heavy medium-length, with side bangs.
いよいよカット開始！	Let's start the cut!
カットしやすいように、まずは全体を軽く濡らします。	First, we dampen the whole head, making it easier to cut.
その後、ハチ上（頭のいちばん出っ張っている周囲より上の部分）を分け取っておき、下からカットしていきます。	Then section out the hair on the crown (just above the widest part of the head) and start cutting from the bottom.
ちなみに、みな実さんに近づけるヘアのポイントはこちら！	Here are some key points to achieve a hairstyle just like Minami!
1 タブルバング 前髪の内側をほんの少し短くすることで、フルで下ろすとやや厚め、軽く分けると肌が透けるシースルーに...など、スタイリング次第で変化が楽しめます。	1. Double Bangs:  by cutting the inside layer of the bang a little shorter, you can either choose thicker full bangs by letting both layers fall or achieve lighter, see-through look when you separate the layers.
2 クセを生かしたカット 多毛のクセありさんが毛量を減らしすぎると、よけいに広がってしまうことも。	2. Making the most of your curls:  when those with curlier hair try to thin out volume, it may make it more difficult to tame.
そのあたりのバランスを相談しながら、扱いやすくも広がりにくく、自身のうねりが生きるようなバランスをキープ。	Need to keep the balance of easy care, taming unruliness, and making the most of the curls while thinking about proportion.
3 顔周りのレイヤーとおくれ毛 レイヤー＝段差をつけて切るカットのこと。	3. Layering around the face and loose hair:  layered cut = a cutting at different lengths.
顔周りにレイヤーを入れておくと動きが出やすくなって、かわいらしい仕上がりに。	Layering around the face gives bounce and a cute finish.
おくれ毛は、こめかみ、もみあげの前と後ろの3カ所に作っておくと、サッとまとめ髪にしたときでもおしゃれに見えます。	By creating loose hair in 3 areas, around the temple and at the front and back of sideburns, you can create a stylish look when the hair is casually put up.
分け取っておいたハチ上の髪も合わせてカットしたら、顔周りに。	Release the sectioned out hair on the crown, cut together, then release around the face.
顔周りの上部分の毛束を前に引き出して、毛先をちょんちょんと切ります。	Pull out the upper part of the hair around the face and snip the ends of the hair.
こうすると、毛束を下ろした時に段差がついて、動きが出やすくなります（これがレイヤーカット ） 。	This will create layers when the hair is let down, giving it bounce (this is a layered haircut).
白鵬、朝乃山が７連勝 御嶽海も全勝、１敗に正代ら４人｜静岡新聞アットエス	7 Straight Wins for Hakuho and Asanoyama, No Losses for Mitakeumi Either, and Only 1 Loss for Shodai and 3 Others| Shizuoka Shimbun At-S
宝富士（手前）を攻める朝乃山。	Asanoyama lunging at Takarafuji (front).
