智能--它是什么？	Intelligence -- what is it?
当我们回顾在历史上 智能是如何被看待的， 一个开创性的例子是 艾兹格•迪杰斯特拉的著名引述， "关于一台机器能否思考的问题 与关于 一艘潜艇是否会游泳的问题 几乎同样有趣"。	If we take a look back at the history of how intelligence has been viewed, one seminal example has been Edsger Dijkstra's famous quote that "the question of whether a machine can think is about as interesting as the question of whether a submarine can swim."
当艾兹格•迪杰斯特拉 写下这句话的时候， 他的用意是去批判那些 早年间开辟了计算机科学的先锋， 比如阿兰 · 图灵。	Now, Edsger Dijkstra, when he wrote this, intended it as a criticism of the early pioneers of computer science, like Alan Turing.
然而，如果你回顾过去 并予以思考，有哪些 最有利于发展的创新， 让我们有机会能够制造出 会游泳的机器 和会[飞]的机器， 你会发现，只有通过了解 游泳和飞行 背后的物理机制， 我们才有能力去制造这些机器。	However, if you take a look back and think about what have been the most empowering innovations that enabled us to build artificial machines that swim and artificial machines that [fly], you find that it was only through understanding the underlying physical mechanisms of swimming and flight that we were able to build these machines.
所以说，在几年前， 我着手了一个项目， 试图去了解 智能背后的 基础物理机制。	And so, several years ago, I undertook a program to try to understand the fundamental physical mechanisms underlying intelligence.
我们先退一步说。	Let's take a step back.
首先，让我们从一个思维实验开始。	Let's first begin with a thought experiment.
假装你是一个外星人， 你对地球上的生物学、 神经科学和智能一无所知， 但你有绝佳的望远镜， 因此你能观望地球， 你的寿命也惊人地长， 所以你可以观察地球 超过数百万年，甚至几十亿年。	Pretend that you're an alien race that doesn't know anything about Earth biology or Earth neuroscience or Earth intelligence, but you have amazing telescopes and you're able to watch the Earth, and you have amazingly long lives, so you're able to watch the Earth over millions, even billions of years.
然后你观察到一个很奇怪的现象。	And you observe a really strange effect.
你观察到，几千年来， 地球不断地与小行星发生碰撞 直到某一刻， 而在那一刻， 大约对应的是公元2000年， 那些在地球撞击轨道 上的小行星， 本该相撞 但却被神秘地弹开了 或者在碰到地球之前就引爆了。	You observe that, over the course of the millennia, Earth is continually bombarded with asteroids up until a point, and that at some point, corresponding roughly to our year, 2000 AD, asteroids that are on a collision course with the Earth that otherwise would have collided mysteriously get deflected or they detonate before they can hit the Earth.
当然，作为地球人， 我们知道其中的原因是 我们正试图自我拯救。	Now of course, as earthlings, we know the reason would be that we're trying to save ourselves.
我们要防止撞击发生。	We're trying to prevent an impact.
但如果你是一个外星人， 对这些一无所知， 对地球上的智能也没有任何概念， 这就迫使你去总结 一种物理理论， 去解释其原因， 直到在某一刻， 本应摧毁一个星球表面的小行星， 神秘地停止了这种行为。	But if you're an alien race who doesn't know any of this, doesn't have any concept of Earth intelligence, you'd be forced to put together a physical theory that explains how, up until a certain point in time, asteroids that would demolish the surface of a planet mysteriously stop doing that.
因此我声称这个问题 与理解智能的物理本质的问题 是相同的。	And so I claim that this is the same question as understanding the physical nature of intelligence.
因此，在我几年前着手的 这个项目中， 我研究了许多不同的线程， 跨越科学界，跨越多个学科， 在我看来，他们都指向 一个统一的、潜在的 智能机制。	So in this program that I undertook several years ago, I looked at a variety of different threads across science, across a variety of disciplines, that were pointing, I think, towards a single, underlying mechanism for intelligence.
因此，考虑所有这些不同的线程 并把它们放在一起， 从几年前开始我就在问， 有没有一种潜在的智能机制 可以让我们分解出 所有这些不同的线程？	And so, taking all of these different threads and putting them together, I asked, starting several years ago, is there an underlying mechanism for intelligence that we can factor out of all of these different threads?
是否存在一个 关于智能的公式？	Is there a single equation for intelligence?
而我相信答案是有。 ["F = T ∇ SΤ"] 你看到的可能是 我所见过最接近于 E = mc² 的智慧。	And the answer, I believe, is yes. ["F = T ∇ Sτ"] What you're seeing is probably the closest equivalent to an E = mc² for intelligence that I've seen.
所以你在这里看到的 是一张对应表， 其中智能是一种力量，F， 它的作用是为了便于将未来的 行动自由最大化。	So what you're seeing here is a statement of correspondence that intelligence is a force, F, that acts so as to maximize future freedom of action.
它的作用是将未来的 行动自由最大化， 或是保留灵活的选择权， 与一种力量 T， 和有多种可能性的、 可实现的未来，S， 一直到某个未来的开始， tau。	It acts to maximize future freedom of action, or keep options open, with some strength T, with the diversity of possible accessible futures, S, up to some future time horizon, tau.
简而言之，智能不喜欢被困住。	In short, intelligence doesn't like to get trapped.
智能试图将未来的行动自由最大化， 并保留选择权。	Intelligence tries to maximize future freedom of action and keep options open.
所以，鉴于这一公式， 你自然会问， 那么这些可以让你做什么？	And so, given this one equation, it's natural to ask, so what can you do with this?
它是预测性有多高？	How predictive is it?
它能否预测人类的智能水平？	Does it predict human-level intelligence?
它能够预测人工智能吗？	Does it predict artificial intelligence?
因此，我将要展示给你们一段视频， 我认为，它会展示出 单是这一个公式的 一些惊人的应用。	So I'm going to show you now a video that will, I think, demonstrate some of the amazing applications of just this single equation.
但假如那个在熵与智能之间 暂定的宇宙链接 暗示着更深层的关系呢？	But what if that tentative cosmological connection between entropy and intelligence hints at a deeper relationship?
如果智能的行为不仅只与 长期熵的生产相关， 而是直接由其产生的呢？	What if intelligent behavior doesn't just correlate with the production of long-term entropy, but actually emerges directly from it?
为了找到答案， 我们开发了一个软件引擎 称为 Entropica， 设计的意图是将 长期熵的生产最大化， 无论它身在任何系统内。	To find out, we developed a software engine called Entropica, designed to maximize the production of long-term entropy of any system that it finds itself in.
惊人的是，Entropica 通过了 多个动物的智能测验、 玩人类的游戏、 甚至在股票交易中赚钱， 而且完全没有被给出那些指示。	Amazingly, Entropica was able to pass multiple animal intelligence tests, play human games, and even earn money trading stocks, all without being instructed to do so.
下面是一些 Entropica 的行动实例。	Here are some examples of Entropica in action.
就像人类站立不会跌到， 这里我们可以看到 Entropica 自动地使用购物车去平衡棍子。	Just like a human standing upright without falling over, here we see Entropica automatically balancing a pole using a cart.
这种行为可以说是非常卓越的 因为我们从未给 Entropica 设定一个目标。	This behavior is remarkable in part because we never gave Entropica a goal.
它自己就决定去平衡那根棍子。	It simply decided on its own to balance the pole.
这种平衡能力将能应用于 人形机器人 和人类的辅助科技。	This balancing ability will have appliactions for humanoid robotics and human assistive technologies.
正如一些动物可以使用 环境中的物体作为工具 去伸入狭窄的空间， 这里我们可以看到 Entropica， 同样是自主的， 能够移动一个表示动物的大圆盘 去把一个表示工具的小圆盘， 去深入一个狭窄的空间， 那里有第三个圆盘， 并把第三个圆盘从它初始 的静态解放出来.	Just as some animals can use objects in their environments as tools to reach into narrow spaces, here we see that Entropica, again on its own initiative, was able to move a large disk representing an animal around so as to cause a small disk, representing a tool, to reach into a confined space holding a third disk and release the third disk from its initially fixed position.
这种工具的使用能力将能运用于 智能制造业和农业。	This tool use ability will have applications for smart manufacturing and agriculture.
此外，正如其他一些动物 能够合作起来同时去拉 一根绳子的两端 从而释放食物， 这里我们可以看到 Entropica 有能力完成 这项任务的模型版本。	In addition, just as some other animals are able to cooperate by pulling opposite ends of a rope at the same time to release food, here we see that Entropica is able to accomplish a model version of that task.
这种合作能力能够带来有趣的影响， 在经济规划和各种其他领域中。	This cooperative ability has interesting implications for economic planning and a variety of other fields.
Entropica 可以广泛适用于 各种各样的领域。	Entropica is broadly applicable to a variety of domains.
例如，在这里我们看到它成功的 与自己玩乒乓球游戏， 说明其在游戏界的潜力。	For example, here we see it successfully playing a game of pong against itself, illustrating its potential for gaming.
在这里我们看到 Entropica 指挥着 社交网络上新的关系， 在这朋友们不断的失去联系 并成功地保持有效的网络连接。	Here we see Entropica orchestrating new connections on a social network where friends are constantly falling out of touch and successfully keeping the network well connected.
这种相同的网络指挥能力 在医疗保健、能源、和智能方面 都有相关的应用。	This same network orchestration ability also has applications in health care, energy, and intelligence.
这里我们可以看到 Entropica 指挥一支舰队的路径， 成功地发现并利用巴拿马运河， 然后将其范围从大西洋到太平洋 全球性地扩大。	Here we see Entropica directing the paths of a fleet of ships, successfully discovering and utilizing the Panama Canal to globally extend its reach from the Atlantic to the Pacific.
同样的，Entropica 可以广泛地适用于 自主防御、 物流和运输地应用。	By the same token, Entropica is broadly applicable to problems in autonomous defense, logistics and transportation.
最后，在这里我们看到 Entropica 自主地发现和执行 一个低买高卖的策略， 这是在模拟的范围交易股票上， 它成功地将其管理的资产 成指数升涨。	Finally, here we see Entropica spontaneously discovering and executing a buy-low, sell-high strategy on a simulated range traded stock, successfully growing assets under management exponentially.
这种风险管理的能力 将在金融和保险领域 有广泛的应用。	This risk management ability will have broad applications in finance and insurance.
阿历克斯•维斯纳-格罗斯： 你刚看到的 是各种具有代表性的人类智能 的认知行为， 例如工具的使用、直立行走 和社会合作， 它们都遵循一个公式， 该公式所驱动的系统 是要将其未来的行动自由最大化。	Alex Wissner-Gross: So what you've just seen is that a variety of signature human intelligent cognitive behaviors such as tool use and walking upright and social cooperation all follow from a single equation, which drives a system to maximize its future freedom of action.
现在，这里存在一个深刻的讽刺。	Now, there's a profound irony here.
